CTID_FIVETRAN_ID,ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE,ADDRESS,CITY,STATE,ZIP,REGION,CUSTOMER_TYPE,CREATED_AT,UPDATED_AT,_FIVETRAN_DELETED,_FIVETRAN_SYNCED
TBD_CU_000012,12,Dylan,Jackson,dylan.jackson.12@example.com,555-0084,12 Hardware Way,Atlanta,GA,30301,Southeast,residential,2025-04-26 00:00:00.000,2025-04-26 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000013,13,Avery,White,avery.white.13@example.com,555-0091,13 Hardware Way,Indianapolis,IN,46201,Midwest,residential,2025-04-23 00:00:00.000,2025-04-23 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000014,14,Riley,Harris,riley.harris.14@example.com,555-0098,14 Hardware Way,Denver,CO,80201,West,residential,2025-04-20 00:00:00.000,2025-04-20 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000015,15,Quinn,Martin,quinn.martin.15@example.com,555-0105,15 Hardware Way,Dallas,TX,75201,South,residential,2025-04-17 00:00:00.000,2025-04-17 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000016,16,Blake,Thompson,blake.thompson.16@example.com,555-0112,16 Hardware Way,San Jose,CA,95101,West,contractor,2025-04-14 00:00:00.000,2025-04-14 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000017,17,Reese,Moore,reese.moore.17@example.com,555-0119,17 Hardware Way,Chicago,IL,60601,Midwest,contractor,2025-04-11 00:00:00.000,2025-04-11 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000018,18,Skyler,Allen,skyler.allen.18@example.com,555-0126,18 Hardware Way,Orlando,FL,32801,Southeast,contractor,2025-04-08 00:00:00.000,2025-04-08 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000019,19,Emery,Young,emery.young.19@example.com,555-0133,19 Hardware Way,Philadelphia,PA,19101,Northeast,business,2025-04-05 00:00:00.000,2025-04-05 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000020,20,Rowan,King,rowan.king.20@example.com,555-0140,20 Hardware Way,Columbus,OH,43201,Midwest,residential,2025-04-02 00:00:00.000,2025-04-02 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000021,21,Logan,Wright,logan.wright.21@example.com,555-0147,21 Hardware Way,Edison,NJ,08817,Northeast,residential,2025-03-30 00:00:00.000,2025-03-30 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000022,22,Parker,Scott,parker.scott.22@example.com,555-0154,22 Hardware Way,Atlanta,GA,30301,Southeast,residential,2025-03-27 00:00:00.000,2025-03-27 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000023,23,Harper,Hill,harper.hill.23@example.com,555-0161,23 Hardware Way,Indianapolis,IN,46201,Midwest,residential,2025-03-24 00:00:00.000,2025-03-24 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000024,24,Sawyer,Green,sawyer.green.24@example.com,555-0168,24 Hardware Way,Denver,CO,80201,West,residential,2025-03-21 00:00:00.000,2025-03-21 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000025,25,Finley,Adams,finley.adams.25@example.com,555-0175,25 Hardware Way,Dallas,TX,75201,South,residential,2025-03-18 00:00:00.000,2025-03-18 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000026,26,Charlie,Baker,charlie.baker.26@example.com,555-0182,26 Hardware Way,San Jose,CA,95101,West,contractor,2025-03-15 00:00:00.000,2025-03-15 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000027,27,Hayden,Nelson,hayden.nelson.27@example.com,555-0189,27 Hardware Way,Chicago,IL,60601,Midwest,contractor,2025-03-12 00:00:00.000,2025-03-12 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000028,28,Peyton,Carter,peyton.carter.28@example.com,555-0196,28 Hardware Way,Orlando,FL,32801,Southeast,contractor,2025-03-09 00:00:00.000,2025-03-09 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000029,29,Dakota,Mitchell,dakota.mitchell.29@example.com,555-0203,29 Hardware Way,Philadelphia,PA,19101,Northeast,business,2025-03-06 00:00:00.000,2025-03-06 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000030,30,Sage,Perez,sage.perez.30@example.com,555-0210,30 Hardware Way,Columbus,OH,43201,Midwest,residential,2025-03-03 00:00:00.000,2025-03-03 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000031,31,John,Smith,john.smith.31@example.com,555-0217,31 Hardware Way,Edison,NJ,08817,Northeast,residential,2025-02-28 00:00:00.000,2025-02-28 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000032,32,Jane,Johnson,jane.johnson.32@example.com,555-0224,32 Hardware Way,Atlanta,GA,30301,Southeast,residential,2025-02-25 00:00:00.000,2025-02-25 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000033,33,Alex,Williams,alex.williams.33@example.com,555-0231,33 Hardware Way,Indianapolis,IN,46201,Midwest,residential,2025-02-22 00:00:00.000,2025-02-22 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000034,34,Chris,Brown,chris.brown.34@example.com,555-0238,34 Hardware Way,Denver,CO,80201,West,residential,2025-02-19 00:00:00.000,2025-02-19 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000035,35,Pat,Jones,pat.jones.35@example.com,555-0245,35 Hardware Way,Dallas,TX,75201,South,residential,2025-02-16 00:00:00.000,2025-02-16 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000036,36,Sam,Garcia,sam.garcia.36@example.com,555-0252,36 Hardware Way,San Jose,CA,95101,West,contractor,2025-02-13 00:00:00.000,2025-02-13 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000037,37,Morgan,Miller,morgan.miller.37@example.com,555-0259,37 Hardware Way,Chicago,IL,60601,Midwest,contractor,2025-02-10 00:00:00.000,2025-02-10 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000038,38,Taylor,Davis,taylor.davis.38@example.com,555-0266,38 Hardware Way,Orlando,FL,32801,Southeast,contractor,2025-02-07 00:00:00.000,2025-02-07 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000039,39,Jordan,Martinez,jordan.martinez.39@example.com,555-0273,39 Hardware Way,Philadelphia,PA,19101,Northeast,business,2025-02-04 00:00:00.000,2025-02-04 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000040,40,Casey,Anderson,casey.anderson.40@example.com,555-0280,40 Hardware Way,Columbus,OH,43201,Midwest,residential,2025-02-01 00:00:00.000,2025-02-01 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000041,41,Drew,Thomas,drew.thomas.41@example.com,555-0287,41 Hardware Way,Edison,NJ,08817,Northeast,residential,2025-01-29 00:00:00.000,2025-01-29 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000042,42,Dylan,Jackson,dylan.jackson.42@example.com,555-0294,42 Hardware Way,Atlanta,GA,30301,Southeast,residential,2025-01-26 00:00:00.000,2025-01-26 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000043,43,Avery,White,avery.white.43@example.com,555-0301,43 Hardware Way,Indianapolis,IN,46201,Midwest,residential,2025-01-23 00:00:00.000,2025-01-23 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000044,44,Riley,Harris,riley.harris.44@example.com,555-0308,44 Hardware Way,Denver,CO,80201,West,residential,2025-01-20 00:00:00.000,2025-01-20 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000045,45,Quinn,Martin,quinn.martin.45@example.com,555-0315,45 Hardware Way,Dallas,TX,75201,South,residential,2025-01-17 00:00:00.000,2025-01-17 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000046,46,Blake,Thompson,blake.thompson.46@example.com,555-0322,46 Hardware Way,San Jose,CA,95101,West,contractor,2025-01-14 00:00:00.000,2025-01-14 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000047,47,Reese,Moore,reese.moore.47@example.com,555-0329,47 Hardware Way,Chicago,IL,60601,Midwest,contractor,2025-01-11 00:00:00.000,2025-01-11 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000048,48,Skyler,Allen,skyler.allen.48@example.com,555-0336,48 Hardware Way,Orlando,FL,32801,Southeast,contractor,2025-01-08 00:00:00.000,2025-01-08 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000049,49,Emery,Young,emery.young.49@example.com,555-0343,49 Hardware Way,Philadelphia,PA,19101,Northeast,business,2025-01-05 00:00:00.000,2025-01-05 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000050,50,Rowan,King,rowan.king.50@example.com,555-0350,50 Hardware Way,Columbus,OH,43201,Midwest,residential,2025-01-02 00:00:00.000,2025-01-02 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000051,51,Logan,Wright,logan.wright.51@example.com,555-0357,51 Hardware Way,Edison,NJ,08817,Northeast,residential,2024-12-30 00:00:00.000,2024-12-30 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000052,52,Parker,Scott,parker.scott.52@example.com,555-0364,52 Hardware Way,Atlanta,GA,30301,Southeast,residential,2024-12-27 00:00:00.000,2024-12-27 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000053,53,Harper,Hill,harper.hill.53@example.com,555-0371,53 Hardware Way,Indianapolis,IN,46201,Midwest,residential,2024-12-24 00:00:00.000,2024-12-24 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000054,54,Sawyer,Green,sawyer.green.54@example.com,555-0378,54 Hardware Way,Denver,CO,80201,West,residential,2024-12-21 00:00:00.000,2024-12-21 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000055,55,Finley,Adams,finley.adams.55@example.com,555-0385,55 Hardware Way,Dallas,TX,75201,South,residential,2024-12-18 00:00:00.000,2024-12-18 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000056,56,Charlie,Baker,charlie.baker.56@example.com,555-0392,56 Hardware Way,San Jose,CA,95101,West,contractor,2024-12-15 00:00:00.000,2024-12-15 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000057,57,Hayden,Nelson,hayden.nelson.57@example.com,555-0399,57 Hardware Way,Chicago,IL,60601,Midwest,contractor,2024-12-12 00:00:00.000,2024-12-12 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000058,58,Peyton,Carter,peyton.carter.58@example.com,555-0406,58 Hardware Way,Orlando,FL,32801,Southeast,contractor,2024-12-09 00:00:00.000,2024-12-09 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000059,59,Dakota,Mitchell,dakota.mitchell.59@example.com,555-0413,59 Hardware Way,Philadelphia,PA,19101,Northeast,business,2024-12-06 00:00:00.000,2024-12-06 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000060,60,Sage,Perez,sage.perez.60@example.com,555-0420,60 Hardware Way,Columbus,OH,43201,Midwest,residential,2024-12-03 00:00:00.000,2024-12-03 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000061,61,John,Smith,john.smith.61@example.com,555-0427,61 Hardware Way,Edison,NJ,08817,Northeast,residential,2024-11-30 00:00:00.000,2024-11-30 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000062,62,Jane,Johnson,jane.johnson.62@example.com,555-0434,62 Hardware Way,Atlanta,GA,30301,Southeast,residential,2024-11-27 00:00:00.000,2024-11-27 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000063,63,Alex,Williams,alex.williams.63@example.com,555-0441,63 Hardware Way,Indianapolis,IN,46201,Midwest,residential,2024-11-24 00:00:00.000,2024-11-24 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000064,64,Chris,Brown,chris.brown.64@example.com,555-0448,64 Hardware Way,Denver,CO,80201,West,residential,2024-11-21 00:00:00.000,2024-11-21 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000065,65,Pat,Jones,pat.jones.65@example.com,555-0455,65 Hardware Way,Dallas,TX,75201,South,residential,2024-11-18 00:00:00.000,2024-11-18 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000066,66,Sam,Garcia,sam.garcia.66@example.com,555-0462,66 Hardware Way,San Jose,CA,95101,West,contractor,2024-11-15 00:00:00.000,2024-11-15 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000067,67,Morgan,Miller,morgan.miller.67@example.com,555-0469,67 Hardware Way,Chicago,IL,60601,Midwest,contractor,2024-11-12 00:00:00.000,2024-11-12 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000068,68,Taylor,Davis,taylor.davis.68@example.com,555-0476,68 Hardware Way,Orlando,FL,32801,Southeast,contractor,2024-11-09 00:00:00.000,2024-11-09 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000069,69,Jordan,Martinez,jordan.martinez.69@example.com,555-0483,69 Hardware Way,Philadelphia,PA,19101,Northeast,business,2024-11-06 00:00:00.000,2024-11-06 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000070,70,Casey,Anderson,casey.anderson.70@example.com,555-0490,70 Hardware Way,Columbus,OH,43201,Midwest,residential,2024-11-03 00:00:00.000,2024-11-03 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000071,71,Drew,Thomas,drew.thomas.71@example.com,555-0497,71 Hardware Way,Edison,NJ,08817,Northeast,residential,2024-10-31 00:00:00.000,2024-10-31 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000072,72,Dylan,Jackson,dylan.jackson.72@example.com,555-0504,72 Hardware Way,Atlanta,GA,30301,Southeast,residential,2024-10-28 00:00:00.000,2024-10-28 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000073,73,Avery,White,avery.white.73@example.com,555-0511,73 Hardware Way,Indianapolis,IN,46201,Midwest,residential,2024-10-25 00:00:00.000,2024-10-25 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000074,74,Riley,Harris,riley.harris.74@example.com,555-0518,74 Hardware Way,Denver,CO,80201,West,residential,2024-10-22 00:00:00.000,2024-10-22 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000075,75,Quinn,Martin,quinn.martin.75@example.com,555-0525,75 Hardware Way,Dallas,TX,75201,South,residential,2024-10-19 00:00:00.000,2024-10-19 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000076,76,Blake,Thompson,blake.thompson.76@example.com,555-0532,76 Hardware Way,San Jose,CA,95101,West,contractor,2024-10-16 00:00:00.000,2024-10-16 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000077,77,Reese,Moore,reese.moore.77@example.com,555-0539,77 Hardware Way,Chicago,IL,60601,Midwest,contractor,2024-10-13 00:00:00.000,2024-10-13 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000078,78,Skyler,Allen,skyler.allen.78@example.com,555-0546,78 Hardware Way,Orlando,FL,32801,Southeast,contractor,2024-10-10 00:00:00.000,2024-10-10 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000079,79,Emery,Young,emery.young.79@example.com,555-0553,79 Hardware Way,Philadelphia,PA,19101,Northeast,business,2024-10-07 00:00:00.000,2024-10-07 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000080,80,Rowan,King,rowan.king.80@example.com,555-0560,80 Hardware Way,Columbus,OH,43201,Midwest,residential,2024-10-04 00:00:00.000,2024-10-04 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000081,81,Logan,Wright,logan.wright.81@example.com,555-0567,81 Hardware Way,Edison,NJ,08817,Northeast,residential,2024-10-01 00:00:00.000,2024-10-01 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000082,82,Parker,Scott,parker.scott.82@example.com,555-0574,82 Hardware Way,Atlanta,GA,30301,Southeast,residential,2024-09-28 00:00:00.000,2024-09-28 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000083,83,Harper,Hill,harper.hill.83@example.com,555-0581,83 Hardware Way,Indianapolis,IN,46201,Midwest,residential,2024-09-25 00:00:00.000,2024-09-25 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000084,84,Sawyer,Green,sawyer.green.84@example.com,555-0588,84 Hardware Way,Denver,CO,80201,West,residential,2024-09-22 00:00:00.000,2024-09-22 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000085,85,Finley,Adams,finley.adams.85@example.com,555-0595,85 Hardware Way,Dallas,TX,75201,South,residential,2024-09-19 00:00:00.000,2024-09-19 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000086,86,Charlie,Baker,charlie.baker.86@example.com,555-0602,86 Hardware Way,San Jose,CA,95101,West,contractor,2024-09-16 00:00:00.000,2024-09-16 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000087,87,Hayden,Nelson,hayden.nelson.87@example.com,555-0609,87 Hardware Way,Chicago,IL,60601,Midwest,contractor,2024-09-13 00:00:00.000,2024-09-13 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000088,88,Peyton,Carter,peyton.carter.88@example.com,555-0616,88 Hardware Way,Orlando,FL,32801,Southeast,contractor,2024-09-10 00:00:00.000,2024-09-10 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000089,89,Dakota,Mitchell,dakota.mitchell.89@example.com,555-0623,89 Hardware Way,Philadelphia,PA,19101,Northeast,business,2024-09-07 00:00:00.000,2024-09-07 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000090,90,Sage,Perez,sage.perez.90@example.com,555-0630,90 Hardware Way,Columbus,OH,43201,Midwest,residential,2024-09-04 00:00:00.000,2024-09-04 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000091,91,John,Smith,john.smith.91@example.com,555-0637,91 Hardware Way,Edison,NJ,08817,Northeast,residential,2024-09-01 00:00:00.000,2024-09-01 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000092,92,Jane,Johnson,jane.johnson.92@example.com,555-0644,92 Hardware Way,Atlanta,GA,30301,Southeast,residential,2024-08-29 00:00:00.000,2024-08-29 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000093,93,Alex,Williams,alex.williams.93@example.com,555-0651,93 Hardware Way,Indianapolis,IN,46201,Midwest,residential,2024-08-26 00:00:00.000,2024-08-26 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000094,94,Chris,Brown,chris.brown.94@example.com,555-0658,94 Hardware Way,Denver,CO,80201,West,residential,2024-08-23 00:00:00.000,2024-08-23 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000095,95,Pat,Jones,pat.jones.95@example.com,555-0665,95 Hardware Way,Dallas,TX,75201,South,residential,2024-08-20 00:00:00.000,2024-08-20 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000096,96,Sam,Garcia,sam.garcia.96@example.com,555-0672,96 Hardware Way,San Jose,CA,95101,West,contractor,2024-08-17 00:00:00.000,2024-08-17 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000097,97,Morgan,Miller,morgan.miller.97@example.com,555-0679,97 Hardware Way,Chicago,IL,60601,Midwest,contractor,2024-08-14 00:00:00.000,2024-08-14 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000098,98,Taylor,Davis,taylor.davis.98@example.com,555-0686,98 Hardware Way,Orlando,FL,32801,Southeast,contractor,2024-08-11 00:00:00.000,2024-08-11 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000099,99,Jordan,Martinez,jordan.martinez.99@example.com,555-0693,99 Hardware Way,Philadelphia,PA,19101,Northeast,business,2024-08-08 00:00:00.000,2024-08-08 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000100,100,Casey,Anderson,casey.anderson.100@example.com,555-0700,100 Hardware Way,Columbus,OH,43201,Midwest,residential,2024-08-05 00:00:00.000,2024-08-05 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000101,101,Drew,Thomas,drew.thomas.101@example.com,555-0707,101 Hardware Way,Edison,NJ,08817,Northeast,residential,2024-08-02 00:00:00.000,2024-08-02 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000102,102,Dylan,Jackson,dylan.jackson.102@example.com,555-0714,102 Hardware Way,Atlanta,GA,30301,Southeast,residential,2024-07-30 00:00:00.000,2024-07-30 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000103,103,Avery,White,avery.white.103@example.com,555-0721,103 Hardware Way,Indianapolis,IN,46201,Midwest,residential,2024-07-27 00:00:00.000,2024-07-27 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000104,104,Riley,Harris,riley.harris.104@example.com,555-0728,104 Hardware Way,Denver,CO,80201,West,residential,2024-07-24 00:00:00.000,2024-07-24 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000105,105,Quinn,Martin,quinn.martin.105@example.com,555-0735,105 Hardware Way,Dallas,TX,75201,South,residential,2024-07-21 00:00:00.000,2024-07-21 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000106,106,Blake,Thompson,blake.thompson.106@example.com,555-0742,106 Hardware Way,San Jose,CA,95101,West,contractor,2024-07-18 00:00:00.000,2024-07-18 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000107,107,Reese,Moore,reese.moore.107@example.com,555-0749,107 Hardware Way,Chicago,IL,60601,Midwest,contractor,2024-07-15 00:00:00.000,2024-07-15 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000108,108,Skyler,Allen,skyler.allen.108@example.com,555-0756,108 Hardware Way,Orlando,FL,32801,Southeast,contractor,2024-07-12 00:00:00.000,2024-07-12 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000109,109,Emery,Young,emery.young.109@example.com,555-0763,109 Hardware Way,Philadelphia,PA,19101,Northeast,business,2024-07-09 00:00:00.000,2024-07-09 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000110,110,Rowan,King,rowan.king.110@example.com,555-0770,110 Hardware Way,Columbus,OH,43201,Midwest,residential,2024-07-06 00:00:00.000,2024-07-06 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000111,111,Logan,Wright,logan.wright.111@example.com,555-0777,111 Hardware Way,Edison,NJ,08817,Northeast,residential,2024-07-03 00:00:00.000,2024-07-03 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000112,112,Parker,Scott,parker.scott.112@example.com,555-0784,112 Hardware Way,Atlanta,GA,30301,Southeast,residential,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000113,113,Harper,Hill,harper.hill.113@example.com,555-0791,113 Hardware Way,Indianapolis,IN,46201,Midwest,residential,2024-06-27 00:00:00.000,2024-06-27 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
TBD_CU_000114,114,Sawyer,Green,sawyer.green.114@example.com,555-0798,114 Hardware Way,Denver,CO,80201,West,residential,2024-06-24 00:00:00.000,2024-06-24 00:00:00.000,FALSE,2026-05-15 14:57:10.353 -0700
